slug_link,title,title_roman,title_english,language,date,show_on_website,poem_text,translation_english,transliteration,tags,audio,image,note
ghran-sopan,ঘ্রান সোপান,Ghran Sopan,The Ladder of Odour,bn,7/15/2026,yes,"জানো!
সব সম্পর্কেরই
একটা নিজস্ব ঘ্রাণ আছে।
প্রতিটি ব্যক্তিত্ব আপন গন্ধে ধনী।
 
জানো!
জীবনের সবচেয়ে সঘন তমসায়
চোখে না দেখেও, স্পর্শ-মাত্র না করেও
তোমায় আমি চিনে ফেলি।
 
জানো কি,
গন্ধরা চিরস্থায়ী হয়।
নাসারন্ধ্র বেয়ে
হৃদয় মাঝে মায়াবী তারা,
বায়বীয় বাসা বাঁধে!
টের পাওনি?
 
জানি আমি!
করঞ্জ তেলে চুপচুপে চুল,
হুক্কায় ঢাকা তামাক টানা,
আমার মুখ ধাইমার কোলে মাথা রেখে,
মারাং বুরুর গাথা শোনার সুগন্ধ
এখনো আমায় জঙ্গলঘন
মায়ালোকে পৌঁছে দেয়।
মায়ের আঁচলের হলুদ,
সিগারেটের ধোঁয়া মাখা বাবার শার্টে মুখ গুঁজে,
কি পরম নির্ভরতার আঘ্রাণ...
 
মনে আছে?
চিঠি লেখা তারুণ্যের সেই কাঁচা দিনগুলি!
ইনফ্যাচুয়েশন-এর মোহিনী সৌরভে আচ্ছন্ন;
হঠাৎ করে পা ঠেকে যাওয়া ধুলোমাখা ধরাতলে,
প্রচণ্ড রোদ, বাস্তবের ঘামের গন্ধ
তোমার চুম্বনে পরিনত হতো
স্নিগ্ধ বসন্তে!
 
জানো কি,
সব সম্পর্ক গোলাপগন্ধী নয়।
মৎস্যগন্ধী,
নিশ্চিত তবে।
কোনো কোনোটি,
শিশু লালনে দুগ্ধ ধারায় আপ্লুত,
হয়তো বা,
ঝাঁঝালো, কটু, হাসপাতালের ঔষধের,
শ্মশানের ধূম্রজাল মাখা হয়,
তবুও
মৃত্তিকাবাহী জীবন
যোজন যোজনগন্ধী।
 
স্বেদ, অশ্রু,
আবেগ-রসে স্নাত সুরভি
তোমার অনুভূতি,
তোমার উপস্থিতি!
 
কেন তবে,
কৃত্রিম সুগন্ধের আড়ালে
নিজেকে লুকিয়ে ফেলো?
কেন তবে,
সুরভিত শরীরে
অচেনা আতর ঢালো?
 
বাতাসে ভাসে যে
তোমার সৌরভ স্বাক্ষর
মুছে ফেল যদি,
অগাধ আঁধারে
কোথায় হাতড়ে খুঁজি
তোমার একান্ত আঁচল?
পরিশ্রান্ত, উদ্ভ্রান্ত এ মুখ
অন্তরীক্ষে
বলো কোথায় লুকাই!
ছন্দ ফিরে পাই!","Do you know?
Every relationship has its own odour.
Every personality is enriched with its own flavour.
 
Do you know?
In life's deepest dark
I can know you are there
not by seeing, not by hearing,
neither by touching.
 
Know what?
Fragrances are perpetual.
 
Like magical beings they climb down the nostrils to our hearts
And build their ethereal homes there.
Didn't you realise?
 
I know!
My aaya, nanny Miyam,
Whose hair was soaked in karanj oil
And who took puffs of the hookah,
I used to rest my head on her lap and listen to the stories of Marang Buru,
That very odour even now transcends me to the mysterious world of landless dense jungles.
 
My mother's saree,
aanchal,
smeared with turmeric and kitchen spices;
My father's shirt,
tobacco-flavoured with his constant cigarette smoking,
I used to tuck my face into those to indulge in
That absolute smell of trust and safety...
Aah!
 
Remember?
Those days of letter-writing in raw adolescence?
Possessed by the mystic fragrance of
infatuation,
flying in a psychedelic seventh heaven...
 
All of a sudden when feet were stumped
On the hard ground of ruthless reality,
The scorching sun,
The dust and mud and sweat of the real world,
All transformed into that indulging sweet spring evening
By our first kiss!
Remember?
 
But
do you know?
Not all relationships have that sweet floral flavour.
Some are fish-scented
but trusting.
Some carry the odour of overflowing milk of breastfeeding,
childcare.
Some are musty, pungent, hospital-medicinal.
Some bear the last smoke of burning ghats,
And yet this earthy-flavoured life is unfathomably deep,
immeasurably long.
 
The aroma drenched
in the juices of sweat, tears and emotions
is your own.
Your customized existence,
Your personality.
 
Then why?
Why do you hide yourself
behind the artificial scents?
 
If you erase your
signature odour from the ether,
tell me,
how can I find
your aanchal to plunge into?
How can I take refuge?
How can I dive into the
peace?
How can I find my rhythm back?","jano!
sob somporker i
ekota nijoso ghran achhe
protiti boktit apon gondhe dhoni

jano!
jiboner sobocheye soghon tomosay
chokhe na dekheo, sporsh-matr na koreo
tomay ami chine pheli

jano ki,
gondhora chirosthayi hoy
nasarondhr beye
hrid majhare mayabi tara,
bayobiy basa bandhe!
ter paoni?

jani ami !
koronj tele chupochupe chul ,
hukkay dakata tamakotana,
amar munda dhaimar kole matha rekhe ,
marangg gomoker gatha shonar sugondh
ekhono amay jonggologhon
mayaloke pounchhe dey
mayer ancholer holud,
sigareter dhonya makha babar sharte mukh gunje ,
ki porom nirbhorotar aghran...

mone achhe?
chithi lekha taruner sei kancha dinoguli!
inphachuyeshon-er mohini sourobhe achchhonn;
hothat kore pa theke jaoya dhulomakha dhoratole,
prochond rod - bastober ghemo gondh
tomar chumone porinot hoto
snigdh bosonte !

jano ki,
sob sompork golapogondhi noy
ashost motosogondha,
nischito tobe,
kono konoti,
shishu lalone dugdh dharay aplut,
hoyoto ba,
jhanjhalo, kotu, hasopataler oushodhey ,
shmoshaner dhumrojal makha hoy,
tobuo
mrittikabahi jibon
jojon jojonogondhi

sed, oshru,
abeg-rose snat surobhi
tomar onubhuti,
tomar uposthiti!

ken tobe,
kritrim sugondher arale
nijeke lukiye phelo?
ken tobe,
surobhit shorire
ochena ator dhalo?

batase bhase je
tomar sourobh sakshor
muchhe phel jodi,
ogadh andhare
kothay hatore khunji
tomar ekant anchol?
porishrant, udbhrant e mukh
ontorikshe
bolo kothay lukai!
chhond phire pai!","scent, nostalgia, childhood",,,
birohi-shrabon,বিরহী শ্রাবণ,Birohi Shrabon,The Lovelorn Monsoon,bn,8/28/2026,yes,"একটি ঋতু,
একটি দিবস,
একটি যামিনী,
একটি মুহূর্ত নিদেন পক্ষে,
আপন করে তোমায় দিতাম
হে বন্ধু,
এলো যে শ্রাবণ
মধু পার্বন
কিন্তু তুমি যে এলেনা।

আম্রকাননে ওই যে ঝুলনা
ছুঁয়েছে মেঘের কালো সীমানা
এসেছে সখীরা কাজল নয়না
আকুল আমন্ত্রণ।
কেন তুমি মিছে কথা দিয়েছিলে,
আমার ঝুলনা ঝোলা তো হলোনা
এলো যে শ্রাবণ
আঁখি জলের মতন
বন্ধু তুমি তবু এলেনা!

ঝর ঝর ঝর ঝরছে ঝর্ণা,
বন বিথিকা ঘন হরিৎ বর্ণা,
বনফুল গেঁথে পরেছে গহনা।
শ্যামল কান্তি সবুজ ওড়না
আমার পরা তো হলোনা।
এলো যে শ্রাবণ
ঘোর শিহরণ
বন্ধু তুমি কেন এলেনা!

একটি ঋতু আমার নামেতে,
দিবস রজনী আমার নামেতে,
মুহূর্তটুকু আমার নামেতে,
কাঁধটি তোমার দিও গো বন্ধু হে!
ফুঁপিয়ে কেঁদেছে ঘন বরিষণ।
বুক হু হু করা সেই ক্রন্দন,
কাঁধে মাথা রেখে তোমার
হে বন্ধু,
আমার কাঁদা তো হলোনা।

এলো যে শ্রাবণ
বাণভাসির মতন
কাগুজে আমার কিস্তিতে, আমি
একা একা একা ডুবলাম।
সামলাতে তরী
বন্ধু কান্ডারী, তুমি
এলেনা! এলেনা! এলেনা!

এক গৃহকোণ,
একটি উঠোন,
এক ফালি ক্ষেত,
সোনালী ফলন
নামে আমাদের
আমার বন্ধু হে
করা তো আমার হলোনা!

বন্ধু হে আমার,
এবারও শ্রাবণে
এসেছে শ্রাবণ
এবারও তো তুমি এলেনা!!","A season,
a day,
a night,
at the very least, a moment,
I would have made you mine.
O beloved,
the monsoon came
the sacred season,
but you did not come.

In the mango grove, the swing
touches the dark edge of clouds.
My girlfriends arrived, kohl-lined eyes,
their urgent invitation.
Why did you break your word?
My swing never swayed.
The monsoon came
like tears from my eyes.
Beloved, still you did not come!

Splash, splash, splash, the waterfall flows,
forest paths thick and verdant,
wildflowers adorned like jewels.
The dusky beauty, the green veil,
I never got to wear it.
The monsoon came
with terrible trembling.
Beloved, why didn't you come?

A season bearing my name,
days and nights bearing my name,
each moment bearing my name,
give me your shoulder, O beloved.
The heavy rain wept in sobs.
That heart-wrenching lamentation,
Resting my head on your shoulder
O beloved,
I never got to weep.

The monsoon came
like the arrow-float,
in my share of paper life, I
alone, alone, alone drowned.
To steady the boat,
friend, boatman, you
did not come! Did not come! Did not come!

A corner of home,
a courtyard,
a strip of field,
golden harvests
named for us,
my beloved,
I never got to build it!

My beloved,
once again in the monsoon season
the monsoon has come
and still you have not come!!","ekoti ritu,
ekoti dibos,
ekoti jamini,
ekoti muhurt niden pokshe,
apon kore tomay ditam
he bondhu,
elo je shrabon
modhu paron
kintu tumi je elena

amrokanone oi je jhulona
chhunyechhe megher kalo simana
esechhe sokhira kajol noyona
akul amontron
ken tumi michhe kotha diyechhile,
amar jhulona jhola to holona
elo je shrabon
ankhi joler moton
bondhu tumi tobu elena!

jhor jhor jhor jhorochhe jhorna,
bon bithika ghon horit borna,
bonophul genthe porechhe gohona
shamol kanti sobuj orona
amar pora to holona
elo je shrabon
ghor shihoron
bondhu tumi ken elena!

ekoti ritu amar namete,
dibos rojoni amar namete,
muhurtotuku amar namete,
kandhoti tomar diogo bondhu he!
phunpiye kendechhe ghon borishon
buk hu hu kora sei krondon,
kandhe matha rekhe tomar
he bondhu,
amar kanda to holona

elo je shrabon
banobhasir moton
kaguje amar kistite, ami
eka eka eka dubolam
samolate tori
bondhu kandari, tumi
elena! elena! elena!

ek grihokon,
ekoti uthon,
ek phali kshet,
sonali pholon
name amader
amar bondhu he
korato amar holona!

bondhu he amar,
ebaro shrabone
esechhe shrabon
ebar o to tumi elena!!","monsoon, nature, longing",,images/white-flower.jpg,A Kajri
amar-sadhinota,আমার স্বাধীনতা,Amar Sadhinota,My Freedom,bn,8/14/2026,yes,"এই এসেছে
স্বাধীনতার ভোর।
কেমন যেন আঁধার আঁধার আঁধার।
কেমন যেন কালচে শোণিত জমাট।
 
এই ফুটেছে
স্বাধীনতার ফুল।
কেমন যেন নীরক্ত ফ্যাকাশে।
কেমন যেন রক্ত গন্ধ মাখা।
 
একান্ত প্রার্থিত,
এই তুমুল স্বাধীন হাওয়া
কেমন যেন আর্তনাদে চাপা,
কেমন যেন আতঙ্ক উল্কী ছাপা।
 
গান ভেসেছে আকাশ জুড়ে আজ।
কেন কান্না ঝরা সুরে এ গান বোনা?
 
তবুও এ যে আমার!
আমার নিজের স্বাধীনতা!
পুর্বতন আমার নারী পুরুষ
অসংখ্য প্রাণ আহুতি দিয়ে তাদের,
আমার তরে অমূল্য দামে কেনা।
তাই তো আমার এই যে স্বাধীনতা
বড় প্রিয়, বড়ই আমার চেনা।
 
রাখছি একে জড়িয়ে আমার বুকে
শক্ত হাতের রক্ষা আগল দিয়ে।
নষ্ট নজর ছোঁয় না যেন তাকে!
অনাগত প্রজন্মরাও যেন
শুদ্ধ, স্বাধীন চেতন হয়ে থাকে।","This dawn has arrived,
freedom's dawn.
Yet it is darkness, darkness, darkness.
Like clotted blood, dark and thick.

This flower has bloomed,
freedom's flower.
Yet it is bloodless and pale.
Yet it is stained with the scent of blood.

Ardently prayed for,
this tumultuous free wind
is muffled beneath cries of anguish,
is branded with the mark of terror.

Songs float across the sky today.
Why is this song woven in weeping melodies?

Yet this is mine!
My own freedom!
My ancestors, men and women before me,
countless lives sacrificed for it,
bought for me at an incalculable price.
So this freedom of mine
is deeply beloved, deeply known to me.

I hold it close, clutching it to my chest,
guarded by the strong lock of my hands.
Let no corrupted gaze touch it!
Let the generations yet to come
remain pure, awakened to freedom's consciousness.","ei eseche
swadhinotar bhor.
kemon jeno andhar andhar andhar.
kemon jeno kalche shonito jomat.

ei phutechhe
sadhinotar phul
kemon jeno nirokt phakashe
kemon jeno rokto gondh makha

ekanto prarthito,
ei tumul sadhin haoya
kemon jeno artonade chapa,
kemon jeno atongk ulki chhapa

gan bhesechhe akash jure aj
ken kanna jhora sure e gan bona?

tobuo e je amar!
amar nijer sadhinota!
puroton amar nari purush
osonkko pran ahuti diye tader,
amar tore omul dame kena.
tai to amar ei je sadhinota
bodd priy , boroi amar chena

rakhochhi eke joriye amar buke
shokt hater roksha agol diye.
nosht nojor chhony na jeno take!
onagot projonmorao jeon
shuddh, sadhin-cheton hoye thake","freedom, patriot",,,
vah-baragad-ki-chhanv,वह बरगद की छांव,Vah Baragad Ki Chhanv,Shade Of The Banyan Tree,hi,6/16/2024,yes,"वह बरगद की छांव
वह खुला आसमान!
वह विस्तीर्ण तृण भूमि सा
वक्ष विशाल!
वे दो शक्तिमान बांहें,
सशक्त स्तंभ से अटल पांव
वे दो अन्तर्भेदी आंखें
प्रच्छन्न प्रेम भरे
छद्म शासन के
चश्मे के पीछे
द्युतिमान दो नयन।
 
मेरा अल्हड़पन
डगमगाते मेरे चरण
मेरे सोच विचार,
मेरी भावनाएं
मेरा डर,
मेरी शैतानियां
हर वो कही अनकही जरूरतें
मेरा हर प्रश्न
मेरी प्रसन्नता!
जहां सहारा,
जहां प्रश्रय,
जहां दिग्दर्शन,
जहां विराम
पाता था
मेरे जीवन का वह जीवन रस
पिता था
वह मेरा पिता था।","He was the shade of the banyan tree,
He was the open sky!
He was like the vast expanse of grassland,
The broad chest!
Those two powerful arms,
Steady feet from a strong pillar
Those two penetrating eyes
Hidden with love,
Behind the veil
of pretense,
Radiant two eyes.

My youthful recklessness,
My faltering steps,
My thoughts and deliberations,
My emotions,
My fears,
My mischief,
Every spoken and unspoken need,
My every question,
My joy!
Where I found support,
Where I found shelter,
Where I found guidance,
Where I found respite
There I would find,
The life essence of my life,
My father,
He was my father.","vah baragad ki chhanv
vah khula asman!
vah vistirn trin bhumi sa
vaksh vishal!
ve do shaktiman banhen,
sashakt stambh se atal panv
ve do antarbhedi ankhen
prachchhann prem bhare
chhadm shasan ke
chashme ke pichhe
dyutiman do nayan

mera alharapan
dagamgate mere charan
mere soch vichar,
meri bhavnaen
mera dar,
meri shaitaniyan
har vo kahi anakhi jarurten
mera har prashn
meri prasannta!
jahan sahara,
jahan prashray,
jahan digdarshan,
jahan viram
pata tha
mere jivan ka vah jivan ras
pita tha
vah mera pita tha","love, nature, father",,,Everyday is a Father's and Mother's day. It's a lifelong celebration.
momabati,মোমবাতি,Momabati,The Candle,bn,7/4/2024,yes,"জ্বলে মোমবাতি।
জ্বলে! জ্বলে যায়!
জ্বলে যায়, প্রদীপ্ত শিষের আগায়
সারাটা রাত ধরে জ্বলে, জ্বলে যায়।
মোমবাতি জ্বলে যায়।
 
মোমবাতি জ্বলে যায়।
কখনও উগ্র রক্ত লাল,
কখনও শ্বেতশুভ্র শোক,
কখনও পীতপান্ডুর শীর্ণ,
কখনও নীল বেদনায় দীর্ণ,
কখনও কৃষ্ণ ধূম্রবর্ণ !
মোমবাতি জ্বলে! জ্বলে যায়।
মোমবাতি জ্বলে যায়।
 
মোমবাতি জ্বলে যায়।
কখনও তুমুল প্রতিবাদ প্রতিরোধ।
কখনও তীব্র প্রতিকার প্রতিশোধ।
কখনও নিবিড় প্রেমস্তব্ধ বোধ
কখনও আঁধারের আলোকিত গতিরোধ।
কখনও অন্ধ কুয়াশা।
মোমবাতি জ্বলতে জ্বলতে বদলে যায়।
মোমবাতি জ্বলে যায়।
 
মোমবাতি জ্বলে যায়।
কখনও দুই নয়নে ঢলে অশ্রুবিন্দু,
কখনও কপালে ঝলসায় স্বেদ কণিকা।
কখনও মহাশিরায় উথলে ওঠে রক্তচাপ।
কখনও হৃদয়ের নিভৃতে নিঃশব্দ উত্তাপ,
বিগলিত করুণা।
মোমবাতি জ্বলতে জ্বলতে গলে যায়।
মোমবাতি জ্বলে যায়।
 
মোমবাতি জ্বলে যায়।
মোমবাতি জ্বলতে জ্বলতে ছড়িয়ে যায়।
মোমবাতি হাতে হাতে কাঁধে কাঁধে এগিয়ে যায়।
মোমবাতি পায়ে পায়ে পায়ে পায়ে এগিয়ে যায়।
মোমবাতি জ্বলতে জ্বলতে
গঞ্জে শহরে, গ্রামে, জঙ্গলে বিলিয়ে যায়।
 
মোমবাতি জ্বলতে জ্বলতে
মশালে বদলে যায়
মোমবাতি জ্বলতে জ্বলতে,
মোমবাতি চলতে চলতে,
মশালের মিছিল হয়ে যায়।
মোমবাতি জ্বলতে জ্বলতে
সে মিছিলের মাদক উন্মাদনায়,
যুগান্তরের শক্তির
সংকল্পিত নিশান হয়ে যায়।
মোমবাতি জ্বলে যায়।
মোমবাতি জ্বলে যায়।
 
মোমবাতি রাতের পর রাতে জ্বলে যায়
মোমবাতি হাতের পর হাতে জ্বলে যায়
মোমবাতি যুগ যুগ ধরে জ্বলে যায়
মোমবাতি জ্বলে অনির্বাণ,
জ্বলে যায়।","The candle burns.
It burns! Burns on!
It burns on, at the brilliant tip of the wick,
burning all through the night, burning on.
The candle burns on.
 
The candle burns on.
Sometimes fierce blood red,
sometimes pure white sorrow,
sometimes pale yellow emaciation,
sometimes torn in blue anguish,
sometimes black smoky hue!
The candle burns! Burns on.
The candle burns on.
 
The candle burns on.
Sometimes tumultuous protest and resistance.
Sometimes sharp retribution and revenge.
Sometimes dense love-hushed knowing,
sometimes the light-piercing stillness of darkness.
Sometimes blind fog.
The candle, burning, transforms.
The candle burns on.
 
The candle burns on.
Sometimes tears fall down both eyes,
sometimes sweat glistens on the forehead.
Sometimes blood pressure surges in the great vessel.
Sometimes silent heat in the hidden heart,
melted compassion.
The candle, burning, melts away.
The candle burns on.
 
The candle burns on.
The candle, burning, spreads forth.
The candle hand to hand, shoulder to shoulder advances.
The candle foot to foot, foot to foot advances.
The candle, burning,
scatters in bazaars, cities, villages, forests.
 
The candle, burning,
transforms into torches.
The candle, burning,
the candle, moving,
becomes a procession of torches.
The candle, burning,
in that procession's intoxicating ecstasy,
becomes the resolute banner
of ages-spanning power.
The candle burns on.
The candle burns on.
 
The candle burns night after night,
the candle burns hand after hand,
the candle burns age after age,
the candle burns eternal and unextinguished,
burns on.","jole mombati
jole! jole jay!
jole jay, prodipto shisher agay
sarata rat dhore jole, jole jay
mombati jole jay
 
mombati jole jay
kokhono ugr rokt lal,
kokhono shetoshubhr shok,
kokhono pitopandur shirn,
kokhono nil bedonay dirn,
kokhono krishn dhumroborn !
mombati jole! jole jay
mombati jole jay
 
mombati jole jay
kokhono tumul protibad protirodh
kokhono tibro protikar protishodh
kokhono nibir premostobdh bodh
kokhono andharer alokit gotirodh
kokhono ondh kuyasha
mombati jolote jolote bodole jay
mombati jole jay
 
mombati jole jay
kokhono du noyane dhole oshrubindu,
kokhono kopale jholosay sed konika
kokhono mohashiray uthole othe roktochap
kokhono hridoyer nibhrite nihshobd uttap.
bigolit koruna
mombati jolote jolote gole jay
mombati jole jay
 
mombati jole jay
mombati jolote jolote chhoriye jay
mombati hate hate kandhe kandhe egiye jay
mombati paye paye paye paye egiye jay
mombati jolote jolote
gonje shohore, grame, jonggole biliye jay
 
mombati jolote jolote
moshale bodole jay
mombati jolote jolote,
mombati cholote cholote,
moshaler michhil hoye jay
mombati jolote jolote
se michhiler madok unmadonay,
jugantorer shoktir
songkolpit nishan hoye jay
mombati jole jay
mombati jole jay
 
mombati rater por rate jole jay
mombati hater por hate jole jay
mombati jug jug dhore jole jay
mombati jole oniran ,
jole jay","night, love, city",,,
friendship,दोस्ती की चाल,Dosti Ki Chaal,Friendship,hi,8/2/2026,yes,"दोस्ती की रौशनी,
दोस्ती का उत्ताप
सूरज की देन है।
जब संग रहो
सम्पर्क के साथ साथ चलते हैं।
वरना हम एक-दूसरे तक
जा जाकर पहुंचाते हैं।
बहुत दूर, बहुत ही दूर चले जाओ
जहां न आना,न जाना
जहां न चिट्ठी, न पत्री
न बात ,न व्यवहार
फिर भी
दिल के सितार
के तार
बज से उठते हैं
एकसाथ।
क्या यह समापतन है?
या सुर टूटा ही नहीं कभी!
ताप और प्रकाश की तरह
हमेशा विकिरित होते ही
रहती है दोस्ती
देश, काल , माध्यम के पार।",,,friends,,,
mystery-of-evenings,Mystery Of Evenings,,,en,2/7/2026,yes,"When does evening come?
The evening comes when the sun sinks to rest.
What happen when the evening comes?
When the evening comes the crows fly back to their nests, the children go to sleep.
The flowers shut down their petels. 
The butterfly folds its wings and the bees come back to their hives with their collected honey.",,,evening,,,
chhorar-chorachori,ছড়ার ছড়াছড়ি,Chhorar Chorachori,,bn,7/21/2026,yes,"এলো রে বাদল
পাগলা বাগল
আকাশ কালো করে।
বেরো রে ছোঁড়া
বেরো রে ছুঁড়ি
থাকিস নে কো ঘরে।
ঘ্যাঙর ঘ্যাঙ্
ঘ্যাঙর ঘ্যাঙ্
ভর বর্ষার ব্যাঙ্,
গান জুড়েছে।
তান ধরেছে,
ঝিঁঝিঁ পোকার গ্যাং।
রাজপথে আজ
আরশোলাদের
নাচ জমেছে,
 নানা ঢং এ
নেড়ে শুঁড় আর ঠ্যাং।
দেশের রাজার
বুকের কাঁপন,
ভূরুর নাচন,
সিস্টেম কি হবে হ্যাং?
বদ্ গুলো কি গর্তে যাবে
সদ্ গুলো ঢ্যা ঢ্যাং ঢ্যাং?
বল না বুড়ো,
বল না খুড়ো
কি মজা হবে,
সিস্টেম কি হবে হ্যাং?",,,monsoon,,,A rainy day's poem
je-chhorar-mane-nei,যে ছড়ার মানে নেই,Je Chhorar Mane Nei,,bn,7/21/2026,yes,"চলতে গিয়ে থমকে দাঁড়াই।
ভাত না খেয়ে হাত ধুতে যাই।
যখন তখন যেখানে সেখানে
শিবের গাজন গাই।

কেই বা রাজা কেই বা রানী
কেইবা মুর্খ, কেইবা জ্ঞানী
নীচের তলায় বাস করি ভাই,
কি ই বা আসে যায়?

আমরা ছিলাম ছা পোষন্ত
চাকরির প্রাণ ছটফটন্ত
ভাত জোটাতে দিগ্দিগন্ত
ছবিটা পাল্টে যাচ্ছে না ।

আমারা প্রজা, আমরাই স্বামী
সিংহাসনে আসীন যে তুমি
 পায়া ধরে আছি অধম এ আমি।
আবর্তনের চাকাটা ঘুরছেনা।",,"cholote giye thomoke danrai
bhat na kheye hat dhute jai
jokhon tokhon jekhane sekhane
shiber gajon gai

kei ba raja kei ba rani
keiba murkho, keiba jnani
nicher tolay bas kori bhai,
ki e ba ase jay?

amra chhilam chha poshonto
chakrir pran chhotophotont
bhat jotate digdigont
chobita palte jachchhe na

amara proja, amorai swami
singhasone asin je tumi
paya dhore achhi odhom e ami
abortoner chakata ghurochhena",,,,
nirdharito-jibon,নির্ধারিত জীবন,Nirdharito Jibon,Foreordained Life,bn,8/11/2026,yes,"এ জীবন
এক মহাশ্মশান
সারি সারি অপেক্ষামান দেহ
নিজের নির্ধারিত চিতায় পূড়বে বলে,
মাতৃগর্ভে ভ্রুণের মত শায়িত।
যে ভাবে পাটাতনে পাটাতনে শববাহী শয্যায়
শুয়ে",,,,,,
